id_client;nume;prenume;id_card;puncte;data_nastere;mail;telefon
1;Genevieve;Bowman;1;51;16.04.2021;at.libero@lectuspede.edu;(059) 91522563
2;Isabelle;Boone;2;32;01.04.2022;vulputate@Etiamgravidamolestie.com;(02093) 9829751
3;Callie;Joyner;3;98;25.03.2021;faucibus.Morbi@nonummyultriciesornare.co.uk;(03715) 0017120
4;Darrel;Montoya;4;89;25.11.2021;odio@sem.org;(02733) 6149811
5;Grady;Harmon;5;30;15.07.2020;est.congue@ataugueid.edu;(05347) 5291460
6;Jada;Carson;6;29;04.05.2021;gravida.sagittis@diamSed.com;(034109) 106000
7;Fritz;Blair;7;5;22.12.2020;pede.ac@neque.net;(076) 00202531
8;Dalton;Cardenas;8;75;30.05.2021;Mauris@urnanec.org;(027) 44096551
9;Jarrod;Reyes;9;6;11.07.2020;arcu@malesuada.co.uk;(085) 20695221
10;Melissa;Holmes;10;77;14.11.2020;blandit.at.nisi@Morbineque.ca;(068) 42439671
11;Destiny;Diaz;11;83;10.08.2021;nisl.elementum.purus@duiCras.com;(01214) 3896395
12;Candice;Burks;12;17;20.06.2020;hymenaeos.Mauris@vehiculaaliquet.ca;(035635) 963084
13;Keegan;Byers;13;59;10.10.2020;vel.convallis.in@lectusjustoeu.ca;(040) 52211251
14;Kessie;Key;14;23;07.02.2021;at@sedpede.net;(031742) 150557
15;Ivory;Landry;15;42;16.11.2020;egestas@malesuadaaugueut.edu;(038300) 406473
16;Sylvester;Gray;16;61;03.08.2021;posuere@quamPellentesque.com;(01788) 9935141
17;Sharon;Carrillo;17;65;02.07.2021;aliquet@maurisrhoncusid.org;(081) 19998856
18;Louis;Mcconnell;18;82;13.05.2020;ut@ullamcorpernislarcu.ca;(031294) 228299
19;Luke;Conley;19;99;25.03.2022;lectus@enim.org;(03778) 7972859
20;George;Vargas;20;77;01.11.2020;et@magnaSed.edu;(0169) 38134222
21;Kerry;Winters;21;64;09.02.2022;est.tempor.bibendum@cursusIntegermollis.ca;(031685) 436836
22;Carter;Yang;22;97;22.09.2021;enim.sit.amet@ametrisusDonec.net;(032181) 550423
23;Margaret;Lamb;23;48;07.09.2020;enim@volutpatNulla.org;(045) 89981324
24;Hiram;Wallace;24;84;21.11.2021;Suspendisse@nec.net;(08808) 1866999
25;Rhoda;Mccall;25;52;16.11.2021;dapibus@famesacturpis.ca;(04919) 5557377
26;Paki;Wolf;26;54;24.07.2021;mollis.lectus.pede@ultrices.edu;(0188) 14765655
27;Rahim;West;27;10;20.06.2020;tincidunt.pede.ac@at.org;(07811) 2952193
28;Rajah;Marks;28;86;31.10.2020;lacus.varius@loremtristique.com;(09556) 3443006
29;Adam;Lara;29;30;24.02.2022;Ut@accumsan.edu;(098) 31308756
30;Jacqueline;Fuentes;30;29;10.02.2021;ante.Vivamus@luctuslobortisClass.org;(03653) 7435545
31;Peter;Butler;31;2;09.08.2021;ultricies.ornare@mitempor.org;(0451) 58469966
32;Tatum;Riley;32;8;17.05.2021;elit@aneque.edu;(037221) 586760
33;Dominique;Osborne;33;63;27.10.2020;Sed.nulla.ante@dolordapibusgravida.com;(085) 79204566
34;Stone;Caldwell;34;56;09.09.2021;consectetuer.euismod.est@Uttincidunt.co.uk;(032475) 858068
35;Conan;Mercado;35;85;23.02.2021;Maecenas.libero.est@natoque.com;(038070) 547905
36;Martha;Nieves;36;20;26.02.2022;nisi@orciUt.co.uk;(003) 91268837
37;Burke;Beasley;37;77;15.04.2022;Cras.lorem@dapibusid.co.uk;(08426) 8830447
38;MacKenzie;Taylor;38;49;30.06.2021;Curabitur.egestas.nunc@Donecfringilla.com;(037344) 944466
39;Astra;Winters;39;26;17.05.2020;turpis.egestas.Aliquam@risusvariusorci.com;(08257) 4483841
40;Colby;Morales;40;26;31.01.2021;varius@eget.co.uk;(036468) 239730
41;Jael;Jimenez;41;52;01.06.2021;vitae.erat@felis.edu;(030865) 919905
42;Adele;Richards;42;52;20.07.2021;litora@felispurus.org;(07469) 0113958
43;Ursula;Leach;43;74;14.04.2021;libero.Morbi@tortor.co.uk;(0234) 42784095
44;Shelly;Caldwell;44;18;26.10.2021;est.ac.facilisis@augue.net;(094) 92057877
45;Galvin;Roy;45;55;12.07.2021;enim.gravida@Infaucibus.co.uk;(033557) 768205
46;Rahim;Powers;46;96;18.12.2020;ultrices.a.auctor@PhasellusornareFusce.co.uk;(061) 18545922
47;Roary;Petty;47;66;19.09.2020;sapien.cursus@at.co.uk;(0785) 54659599
48;Randall;Sharp;48;55;12.01.2022;auctor.velit@elementum.org;(02567) 1025560
49;Cruz;Talley;49;11;02.09.2021;diam.dictum@tellusidnunc.net;(0483) 99048946
50;Derek;Crosby;50;91;09.09.2020;erat@nulla.co.uk;(0980) 79648290
51;Jelani;Chase;51;32;09.11.2021;mollis.non.cursus@liberoet.ca;(0024) 66822451
